date,user,location,text
2021-03-02 13:34:50,Arrmy14,,"@bayern3
@MMatuschik 
RACIST IS NOT AN OPINION 
SINCERE APOLOGY IS MUST.
#NOSilence
#MatuschikOUT
#Bayern3Racist… https://t.co/TMtM8lzd1V"
2021-03-02 13:33:58,Neijayah,Hamburg,"We don't know that for sure, as he might be payed for the delivered shows and not on a fix salary. But still, to sa… https://t.co/ltCgTzK780"
2021-03-02 13:33:15,TaepupsW,,"Are there new tags?? 
NO TO RACISM
RACISM IS NOT AN OPINION @bayern3
#Bayern3_racism
#NoRacismInMedia… https://t.co/1XqDknrJ7x"
2021-03-02 13:31:15,jojomom1974,The Fort 🇨🇦,"This blatant, racially motivated attacks need to stop. We are all human beings, stop attacking my sisters....… https://t.co/H1Pa6HVULc"
2021-03-02 13:24:12,Forever_Sev7n,,"@ryuminating @btschaneIs RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 13:24:08,Nokinii_,meu mundinho ♥︎,"@filtdipity RACISM IS NOT ENTERTAINMENT
RACISM IS NOT OPINION
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus"
2021-03-02 13:23:00,mhhh_07,multistan,"RACISM IS NOT AN OPINION 

#GermanMEDIA_racism #MatuschikOUT #Bayern3_racism #Bayern3_Rassismus #NOtoRacism… https://t.co/0feiehavUB"
2021-03-02 13:19:36,e_von7,Seattle,"Recommend this article. I'm sorry that I don't know the corret ht's to use today, but feel free to share the articl… https://t.co/SKPhphaNQG"
2021-03-02 13:02:54,be_iceprice,,"@Aerikwin_twt RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 13:02:05,be_iceprice,,"@Aerikwin_twt RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 13:00:09,_mochi_ricecake,,"Racism is not entertainment neither an opinion.
S-T-O-P I-T Germany, change something and show the world: after rac… https://t.co/2SrGQcwYyn"
2021-03-02 12:55:09,hobassprite,,"Don't stop tweeting!!!!
#Bayern3_Rassismus 
#NOtoRacism 
#MatuschikOUT 
#StopAsianHate 
#Bayern3_racism… https://t.co/q8OK5LaBE7"
2021-03-02 12:53:35,TheQueensInTown,LUX,"We are standing against racism. No we are not bored, this is not entertainment. We are doing what’s right as humans… https://t.co/IQoIviP1L5"
2021-03-02 12:51:07,be_iceprice,,"@Taehyung040302 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 12:50:44,be_iceprice,,"@Aerikwin_twt RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 12:49:25,duart87,,@MYANC So when are you going to start following these  #Notoracism ?
2021-03-02 12:49:17,NguynThcNhi8,,"WE LOVE YOU BANGTAN
#WeLoveYouBTS
RACISM IS NOT AN OPINION
APOLOGIZE TO BTS
#Bayern3Racist
#Bayern3Apologize… https://t.co/ShalzimMJz"
2021-03-02 12:28:36,din_no_kokoro,,"I think it is a great idea. 
#NoRacismInMedia 
#NOtoRacism https://t.co/ummpbCnpAB"
2021-03-02 12:16:11,PhumlaniMatete,Cape town/ ngcobo,"I wonder what is it they hope to achieve in this protest against #eNCA, and #NOtoRacism. I hear the president has a… https://t.co/kmH6WJK4QE"
2021-03-02 12:15:46,1_xoels_4,,"@bayern3 Bro I dont get it just fire that dude and apologize, won't this be way better for you? Or do you like all… https://t.co/wuwS2Dxpnf"
2021-03-02 12:15:13,Arrmy14,,"@bayern3
@MMatuschik 
🤮 all i can think of when i heard the radio 🤮 geez 
#NOSilence
#NOtoRacism 
#NoRacismInMedia"
2021-03-02 12:14:24,ANCLimpopo,Limpopo . South Africa,"#Racism must be opposed by all means that humanity has to its disposal 
#NoToRacism https://t.co/SVDM8mSeqY"
2021-03-02 12:09:32,ANCLimpopo,Limpopo . South Africa,"""The ANC is about building a united, non-racial, non-sexist and democratic South Africa""
Provincial Secretary Sovie… https://t.co/oxsgz3nLa8"
