personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
David Bowie,DavidBowieReal,2016-01-10T00:00:00Z,United Kingdom,1947-01-08T00:00:00Z
Divine,DivineOfficial,1988-03-07T00:00:00Z,United States of America,1945-10-19T00:00:00Z
Eduardo Galeano,EduardoGGaleano,2015-04-13T00:00:00Z,Uruguay,1940-09-03T00:00:00Z
Rubén Aguirre,jirafalesruben,2016-06-17T00:00:00Z,Mexico,1934-06-15T00:00:00Z
Leon Allen White,itsvadertime,2018-06-18T00:00:00Z,United States of America,1955-05-14T00:00:00Z
Fiona Richardson,FRichardsonMP,2017-08-23T00:00:00Z,Australia,1966-11-22T00:00:00Z
Yurizan Beltran,YuriLuv,2017-12-13T00:00:00Z,United States of America,1986-11-02T00:00:00Z
İbrahim Erkal,ibrahimerkal_,2017-05-11T00:00:00Z,Turkey,1966-10-10T00:00:00Z
Paolo Villaggio,sonovillaggio,2017-07-03T00:00:00Z,Italy,1932-12-30T00:00:00Z
Paolo Villaggio,sonovillaggio,2017-07-03T00:00:00Z,Kingdom of Italy,1932-12-30T00:00:00Z
Julio César Trujillo,JCTrujilloCPCCS,2019-05-19T00:00:00Z,Ecuador,1931-03-25T00:00:00Z
Ralphie May,Ralphie_May,2017-10-06T00:00:00Z,United States of America,1972-02-17T00:00:00Z
Ray Harryhausen,Ray_Harryhausen,2013-05-07T00:00:00Z,United States of America,1920-06-29T00:00:00Z
Ray Harryhausen,Ray_Harryhausen,2013-05-07T00:00:00Z,United States of America,1920-06-19T00:00:00Z
Maria Okano,okanomaria,2016-05-12T00:00:00Z,Japan,1966-10-13T00:00:00Z
Reena Okada,okada0523,2014-04-26T00:00:00Z,Japan,1987-05-23T00:00:00Z
Udo Ulfkotte,UdoUlfkotte,2017-01-13T00:00:00Z,Germany,1960-01-20T00:00:00Z
Kofi Annan,KofiAnnan,2018-08-18T00:00:00Z,Ghana,1938-04-08T00:00:00Z
Martin McGuinness,M_McGuinness_SF,2017-03-21T00:00:00Z,Ireland,1950-05-23T00:00:00Z
Nicole Bass,MsBigBass,2017-02-17T00:00:00Z,United States of America,1964-10-26T00:00:00Z
Nicole Bass,MsBigBass,2017-02-17T00:00:00Z,United States of America,1964-08-10T00:00:00Z
Giorgi Chubinashvili,chubinashvilic,1973-01-14T00:00:00Z,Georgia,1885-12-03T00:00:00Z
Giorgi Chubinashvili,chubinashvilic,1973-01-14T00:00:00Z,Georgia,1885-01-01T00:00:00Z
Masako Togawa,KebaNeko,2016-04-26T00:00:00Z,Japan,1933-03-23T00:00:00Z
Black Rob,TheRealBlackRob,2021-04-17T00:00:00Z,United States of America,1968-06-08T00:00:00Z
Janet Wright,janetwstorm,2016-11-14T00:00:00Z,Canada,1945-03-08T00:00:00Z
Kadir Topbaş,kadir_topbas,2021-02-13T00:00:00Z,Turkey,1945-01-08T00:00:00Z
Masako Togawa,KebaNeko,2016-04-26T00:00:00Z,Japan,1931-03-23T00:00:00Z
Chester Bennington,ChesterBe,2017-07-20T00:00:00Z,United States of America,1976-03-20T00:00:00Z
John Myers,johnmyersteam,2019-06-01T00:00:00Z,United Kingdom,1959-04-11T00:00:00Z
Sofía Ímber,sofiaimber,2017-02-20T00:00:00Z,Venezuela,1924-05-08T00:00:00Z
Kyle Stone,thekylestone,2018-09-13T00:00:00Z,United States of America,1963-10-18T00:00:00Z
Janet Wright,janetwstorm,2016-11-14T00:00:00Z,United Kingdom,1945-03-08T00:00:00Z
Stuart Gordon,OfficialSGordon,2020-03-24T00:00:00Z,United States of America,1947-08-11T00:00:00Z
Fernando del Paso Morante,FernandoDelPaso,2018-11-14T00:00:00Z,Mexico,1935-04-01T00:00:00Z
Ravi Zacharias,RaviZacharias,2020-05-19T00:00:00Z,United States of America,1946-03-26T00:00:00Z
Junko Ōuchi,ouchijunko,2014-10-30T00:00:00Z,Japan,1934-05-04T00:00:00Z
Dean Jones,ProfDeano,2020-09-24T00:00:00Z,Australia,1961-03-24T00:00:00Z
Mauril Bélanger,Mauril_Belanger,2016-08-16T00:00:00Z,Canada,1955-06-15T00:00:00Z
Eugène Berger,BergerEugene,2020-01-21T00:00:00Z,Luxembourg,1960-12-04T00:00:00Z
Cara Lott,CaraLott,2018-03-19T00:00:00Z,United States of America,1961-08-06T00:00:00Z
Layne Redmond,LayneRedmond,2013-10-28T00:00:00Z,United States of America,1952-08-19T00:00:00Z
Ashraf Sinclair,ashrafsinclair,2020-02-18T00:00:00Z,Malaysia,1979-09-18T00:00:00Z
Georges Duboeuf,GeorgesDuboeuf,2020-01-04T00:00:00Z,France,1933-04-14T00:00:00Z
Danny Frawley,SpudSays,2019-09-09T00:00:00Z,Australia,1963-09-08T00:00:00Z
Emanuele Macaluso,emmaincorsivo,2021-01-19T00:00:00Z,Italy,1924-03-21T00:00:00Z
Gershon Kingsley,HerrPopcorn,2019-12-10T00:00:00Z,Germany,1922-10-28T00:00:00Z
Shin Hae Chul,cromshin,2014-10-27T00:00:00Z,South Korea,1968-05-06T00:00:00Z
Diem Brown,DiemBrownMTV,2014-11-14T00:00:00Z,United States of America,1980-06-12T00:00:00Z
Jóhann Jóhannsson,JohannJohannss,2018-02-09T00:00:00Z,Iceland,1969-09-19T00:00:00Z
João Gilberto,Joao_Gilberto,2019-07-06T00:00:00Z,Brazil,1931-06-10T00:00:00Z
Philipp Mißfelder,Missfelder,2015-07-13T00:00:00Z,Germany,1979-08-25T00:00:00Z
Ram Vilas Paswan,irvpaswan,2020-10-08T00:00:00Z,India,1946-07-05T00:00:00Z
Patrícia Araújo,paty_araujoo,2019-07-06T00:00:00Z,Brazil,1982-03-11T00:00:00Z
Mónica Arriola Gordillo,MonicaArriola,2016-03-14T00:00:00Z,Mexico,1971-05-14T00:00:00Z
Ashraf Sinclair,ashrafsinclair,2020-02-18T00:00:00Z,United Kingdom,1979-09-18T00:00:00Z
Aristóbulo Istúriz,psuvaristobulo,2021-04-27T00:00:00Z,Venezuela,1946-12-20T00:00:00Z
Zindzi Mandela,ZindziMandela,2020-07-13T00:00:00Z,South Africa,1960-12-23T00:00:00Z
Sandrine Doucet,Doucet_Sandrine,2019-02-04T00:00:00Z,France,1959-09-10T00:00:00Z
Andreas Karabaczek,AKarabaczek,2018-09-11T00:00:00Z,Austria,1954-12-04T00:00:00Z
Manuel Pereira da Silva,pereiradasilva,2003-01-01T00:00:00Z,Portugal,1920-12-07T00:00:00Z
Satoshi Kon,konsatoshi,2010-08-24T00:00:00Z,Japan,1963-10-12T00:00:00Z
Gershon Kingsley,HerrPopcorn,2019-12-10T00:00:00Z,United States of America,1922-10-28T00:00:00Z
